0.065	0.113
0.001	0.002
1.218	8.388
0.009	0.007
0.401	3.079
0.636	3.506
0.696	4.922
0.697	4.232
0.198	1.726
0.219	2.195
0.539	3.714
0.710	3.929
0.540	2.998
0.200	1.370
0.005	0.022
0.003	1.063
0.130	1.609
0.047	7432.082
0.020	15.535
0.082	1.658
0.016	1.313
0.037	0.121
0.000	0.000
0.988	4.321
0.008	0.008
0.000	0.000
0.220	1.203
0.006	0.009
0.000	0.000
0.587	1.966
0.010	0.013
0.003	0.010
0.781	5.490
0.005	0.005
0.000	0.000
0.804	4.570
0.007	0.008
0.002	52.470
0.236	1.640
0.008	0.012
0.012	0.014
0.051	0.057
